,Origin,Destination,Refugees(and refugee-like),Pct_to_Dest
0,Afghanistan,Pakistan,1504912,40.52824997670499
1,Afghanistan,Iran (Islamic Rep. of),950000,25.58411221245478
2,Afghanistan,Germany,27814,0.7490489442918075
3,Afghanistan,Sweden,12090,0.32559149120902975
4,Afghanistan,Austria,11906,0.32063625263314377
5,Central African Rep.,Cameroon,220702,14.803144113707505
6,Central African Rep.,Chad,91783,6.156160688115269
7,Central African Rep.,Dem. Rep. of the Congo,68165,4.572030695285372
8,Central African Rep.,Congo,21695,1.4551486236956817
9,Central African Rep.,Sudan,4113,0.27587122789860974
10,Colombia,Venezuela (Bolivarian Republic of),173519,2.707346794212685
11,Colombia,Ecuador,121317,1.8928600962056046
12,Colombia,Costa Rica,16623,0.2593619474535784
13,Colombia,Canada,16428,0.25631944130225504
14,Colombia,Panama,15551,0.24263596491912393
15,Eritrea,Ethiopia,123784,29.68469721532101
16,Eritrea,Sudan,109196,26.186342315034196
17,Eritrea,Israel,32668,7.834127905303648
18,Eritrea,Switzerland,16091,3.858790012374219
19,Eritrea,Sweden,14107,3.3830060720006903
20,Iraq,Syrian Arab Rep.,146200,3.561165948140947
21,Iraq,Germany,41167,1.0027532051102488
22,Iraq,Iran (Islamic Rep. of),32000,0.7794617670349543
23,Iraq,Jordan,29263,0.7127934277732458
24,Iraq,Sweden,24184,0.5890782304366666
25,Somalia,Kenya,424691,18.416207299685354
26,Somalia,Ethiopia,245097,10.628332506530585
27,Somalia,Yemen,244204,10.589608650553842
28,Somalia,South Africa,40133,1.7403186023680093
29,Somalia,Sweden,21189,0.9188351447829902
