Rank,Name,All sectors,sd,Column11,Column10,Column9,Column8,Column7,Column6,Column5,Column4,Column3,Column2,Column1,hist,Agricultural,Domestic,Industrial
1,Bangladesh,4.94,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,374097.00,922661888.00,881074048.00,33813434368.00,,4.94,4.91,4.91
2,Bhutan,4.66,0.82,0.00,8922186.00,1380873.00,0.00,5633654.00,0.00,0.00,0.00,0.00,112438520.00,351849824.00,,4.80,4.35,4.89
3,Nepal,4.49,0.23,0.00,0.00,0.00,0.00,0.00,0.00,82300.00,0.00,625882432.00,3226266112.00,6537651200.00,,4.49,4.47,4.55
4,Philippines,4.02,0.76,0.00,65806912.00,75841600.00,0.00,2251202048.00,1673560576.00,4282272768.00,7047052800.00,14515101696.00,16766070784.00,32572071936.00,,4.04,3.91,3.99
5,Laos,3.92,0.44,0.00,0.00,0.00,0.00,23206.00,1913257.00,43996028.00,742746240.00,1234018560.00,1313240064.00,100013328.00,,3.92,3.89,3.98
6,Haiti,3.88,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1535420288.00,0.00,0.00,,3.88,3.90,3.87
7,Cambodia,3.87,0.25,0.00,0.00,0.00,0.00,8225987.00,2356259.00,12395500.00,313065.00,1778794368.00,1237012608.00,11768706.00,,3.88,3.84,3.80
8,Pakistan,3.87,0.33,0.00,0.00,3450581.00,0.00,1211.00,332243488.00,1037418432.00,9179422720.00,107374000000.00,61101608960.00,3982789376.00,,3.87,3.88,3.89
9,India,3.85,0.46,0.00,24948.00,147348.00,0.00,2847353600.00,5338626048.00,50737184768.00,70680379392.00,317900000000.00,275201000000.00,37486821376.00,,3.84,3.94,3.79
10,Kenya,3.81,0.25,0.00,0.00,4509.00,0.00,0.00,570830.00,31261360.00,326709760.00,1969740672.00,582811904.00,0.00,,3.80,3.82,3.83
11,Vietnam,3.80,0.26,0.00,1030706.00,0.00,0.00,3382600.00,0.00,1008759744.00,1822609280.00,59110453248.00,7276459520.00,1746834560.00,,3.79,3.88,3.82
12,Slovakia,3.79,0.24,0.00,0.00,0.00,0.00,0.00,0.00,36420800.00,189884.00,966780096.00,0.00,0.00,,3.80,3.75,3.81
13,Somalia,3.79,0.19,0.00,337525.00,557774.00,0.00,546582.00,342383.00,1078745.00,191209088.00,1661144320.00,0.00,0.00,,3.79,3.42,3.46
14,Moldova,3.78,0.32,0.00,0.00,0.00,0.00,43336196.00,0.00,38296948.00,0.00,1827731968.00,0.00,0.00,,3.74,3.79,3.80
15,El Salvador,3.75,0.21,0.00,0.00,0.00,0.00,0.00,0.00,25626.00,81826640.00,1190590464.00,0.00,0.00,,3.77,3.73,3.76
16,Sri Lanka,3.73,0.24,0.00,0.00,0.00,0.00,0.00,0.00,26836324.00,1351227264.00,9408955392.00,1692541952.00,0.00,,3.72,3.84,3.80
17,Dominican Republic,3.73,0.28,0.00,0.00,0.00,0.00,0.00,88155536.00,52207664.00,917795008.00,5043132416.00,0.00,0.00,,3.80,3.57,3.45
18,Colombia,3.72,0.55,0.00,0.00,0.00,0.00,12813571.00,100611528.00,2522141696.00,3069497344.00,2384299776.00,8373800448.00,0.00,,3.72,3.71,3.76
