Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Afghanistan,AFG,9.937045243,6.768769363,178.6046187,222.639491,224.6405751,231.1044691,217.1801519,162.3783771,150.8934301,125.5995955,117.2762652,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Albania,ALB,3.362196497,102.8964784,123.7872856,121.9975003,125.3235044,130.6211803,120.3833539,93.25437672,97.32083026,115.7981229,58.59669045,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Algeria,DZA,12.79890795,6.412332613,9.317938545,8.526251799,5.572069956,5.2512852,3.921647235,5.305884973,4.106530173,2.194297645,3.876515747,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Angola,AGO,21.83554108,18.38157028,16.96001088,10.59622173,10.06327535,7.966615693,9.707066622,10.98300892,8.743905102,13.64212065,7.176506344,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Antigua and Barbuda,ATG,69.11958738,118.204441,65.63723264,45.5220611,207.6884884,161.096543,21.59604038,16.25368008,25.79013906,14.91148184,0.792369482,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Argentina,ARG,5.15555593,1.629092038,2.971592394,2.786069905,3.11785237,2.284856722,4.222654871,0.816409526,1.135139141,-0.434614725,0.05929652,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Armenia,ARM,..,70.33191425,104.6791508,181.961127,119.0625553,137.5374229,93.88179139,96.89273474,92.01987461,119.1244279,111.7198484,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Aruba,ABW,482.3890972,..,..,..,..,..,..,..,..,..,..,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Azerbaijan,AZE,..,17.47011903,26.77499601,26.07842438,17.84339253,31.33843129,30.85162048,-7.521662611,22.73080275,7.215000486,7.94235429,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,"Bahamas, The",BHS,12.28855877,..,..,..,..,..,..,..,..,..,..,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Bahrain,BHR,277.2563119,90.92495795,..,..,..,..,..,..,..,..,..,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Bangladesh,BGD,19.70794579,8.924752292,13.91679494,8.22426906,9.23173375,9.711268879,13.8322145,16.71364096,15.19799103,15.94364686,15.3640137,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Barbados,BRB,10.10085492,0.889392878,25.67440385,38.99881495,57.94633883,..,..,..,..,..,..,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Belarus,BLR,..,..,11.66458595,10.33159019,14.35738985,12.6462393,10.86904267,11.31840629,12.72994459,11.020467,-2.348041906,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Belize,BLZ,161.6618325,65.86741605,77.89917202,85.91114551,77.76547847,66.58728037,77.84354665,148.9623192,106.7973864,78.68339605,95.27079688,..
